"Are you sure you want to clear your cart?","Skutečně chcete smazat obsah košíku?",module,Magento/AdvancedCheckout
"Clear my shopping cart","Vyprázdnit košík",module,Magento/AdvancedCheckout
"Add selections to my cart","Přidat výběr do košíku",module,Magento/AdvancedCheckout
"Cancel","Zrušit",module,Magento/AdvancedCheckout
"Shopping Cart for %1 in %2","Nákupní košík pro %1 v %2",module,Magento/AdvancedCheckout
"Select products you want to buy","Zvolte produkty, které chcete zakoupit",module,Magento/AdvancedCheckout
"Product","Produkt",module,Magento/AdvancedCheckout
"Price","Cena",module,Magento/AdvancedCheckout
"Quantity","Množství",module,Magento/AdvancedCheckout
"Products in the Comparison List (%1)","Porovnávané produkty (%1)",module,Magento/AdvancedCheckout
"Last ordered items (%1)","Poslední objednané produkty (%1)",module,Magento/AdvancedCheckout
"Products","Produkty",module,Magento/AdvancedCheckout
"ID","ID",module,Magento/AdvancedCheckout
"SKU","Kód",module,Magento/AdvancedCheckout
"Recently Compared Products (%1)","Poslední porovnávané produkty (%1)",module,Magento/AdvancedCheckout
"Recently Viewed Products (%1)","Poslední navštívené produkty (%1)",module,Magento/AdvancedCheckout
"Add to Shopping Cart by SKU","Přidat do košíku podle SKU",module,Magento/AdvancedCheckout
"Add to Shopping Cart","Přidat do košíku",module,Magento/AdvancedCheckout
"Wish List (%1)","Oblíbené (%1)",module,Magento/AdvancedCheckout
"Apply","Použít",module,Magento/AdvancedCheckout
"Configure","Nastavit",module,Magento/AdvancedCheckout
"Add to Order by SKU","Přidat k objednávce podle SKU",module,Magento/AdvancedCheckout
"Add to Order","Přidat k objednávce",module,Magento/AdvancedCheckout
"Add Products to Order","Přidat produkty k objednávce",module,Magento/AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(ů) vyžaduje vaší pozornost.</span>",module,Magento/AdvancedCheckout
"Remove All","Odebrat vše",module,Magento/AdvancedCheckout
"Only %1%2%3 left in stock","Posledních %1%2%3 skladem",module,Magento/AdvancedCheckout
"You can buy up to %1 of these per purchase.","Můžete zakoupit až %1 na jeden nákup.",module,Magento/AdvancedCheckout
"You must buy at least %1 of these per purchase.","Musíte si zakoupit alespoň %1 na jeden nákup.",module,Magento/AdvancedCheckout
"Specify the product's options.","Zvolte parametry produktu.",module,Magento/AdvancedCheckout
"Alert me when this item is available.","Upozornit mě na naskladnění produktu.",module,Magento/AdvancedCheckout
"We can't find this customer.","Tohoto zákazníka nelze najít.",module,Magento/AdvancedCheckout
"Shopping cart management is disabled for this customer.","Správa nákupního košíku je pro tohoto zákazníka vypnuta.",module,Magento/AdvancedCheckout
"We can't find this store.","Tento obchod nelze najít.",module,Magento/AdvancedCheckout
"Customers","Zákazníci",module,Magento/AdvancedCheckout
"Shopping Cart","Nákupní košík",module,Magento/AdvancedCheckout
"Sorry, something went wrong. You can find out more in the error log.","Omlouváme se, něco se pokazilo. Více informací naleznete v protokolu chyb.",module,Magento/AdvancedCheckout
"You do not have access to this.","Nemáte dostatečná oprávnění.",module,Magento/AdvancedCheckout
"Ordered item id is not received.","ID objednané položky není načteno.",module,Magento/AdvancedCheckout
"Ordered item is not loaded.","Objednaná položka není načtena.",module,Magento/AdvancedCheckout
"Quote item id is not received.","ID položky nabídky není načteno.",module,Magento/AdvancedCheckout
"Quote item is not loaded.","Položka nabídky není načtena.",module,Magento/AdvancedCheckout
"The wish list item id is not received.","ID položky oblíbených není načteno.",module,Magento/AdvancedCheckout
"The wish list item is not loaded.","Položka oblíbených není načtena.",module,Magento/AdvancedCheckout
"An error has occurred. See error log for details.","Došlo k chybě. Více podrobností v protokolu chyb.",module,Magento/AdvancedCheckout
"You cannot configure a product.","Produkt nelze konfigurovat.",module,Magento/AdvancedCheckout
"You removed the items.","Položky byly odebrány.",module,Magento/AdvancedCheckout
"You removed the item.","Položka byla odebrána.",module,Magento/AdvancedCheckout
"You added %1 to your shopping cart.","%1 byl vložen do košíku.",module,Magento/AdvancedCheckout
"You cannot add a product.","Produkt nelze přidat.",module,Magento/AdvancedCheckout
"Order by SKU","Objednat podle SKU",module,Magento/AdvancedCheckout
"The SKU was not found in the catalog.","Kód produktu nebyl nalezen.",module,Magento/AdvancedCheckout
"Availability: Out of stock.","Dostupnost: není skladem.",module,Magento/AdvancedCheckout
"We don't have as many of these as you want.","Požadované množství není dostupné.",module,Magento/AdvancedCheckout
"You can't add this many to your cart.","Požadované množství nelze do košíku přidat.",module,Magento/AdvancedCheckout
"You need to choose options for your item.","Je třeba zvolit jeden z parametrů produktu.",module,Magento/AdvancedCheckout
"We can't add the item to your cart.","Požadovanou položku nelze do košíku přidat.",module,Magento/AdvancedCheckout
"Please enter an actual number in the ""Qty"" field.","Do údaje ""Množství"" zadejte reálné číslo prosím.",module,Magento/AdvancedCheckout
"This product is assigned to another website.","Tento produkt je přiřazen k jinému webu.",module,Magento/AdvancedCheckout
"You can add only enabled products.","Lze přidat pouze zapnuté výrobky.",module,Magento/AdvancedCheckout
"You cannot upload this file.","Tento soubor nelze nahrát.",module,Magento/AdvancedCheckout
"The file is empty.","Soubor je prázdný.",module,Magento/AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","SKU nebylo zadáno. Pro přidání produktů podle SKU <a href=""%1"">klikněte zde</a>.",module,Magento/AdvancedCheckout
"You have not entered a product SKU.","Nezadali jste SKU produktu.",module,Magento/AdvancedCheckout
"We can't add a product to cart by id ""%1"".","Požadovaný produkt podle ID ""%1"" nelze do košíku přidat.",module,Magento/AdvancedCheckout
"Something went wrong while reordering this product.","Při přeobjednání tohoto produktu nastala chyba.",module,Magento/AdvancedCheckout
"We can't find this wish list.","Tento seznam oblíbených nelze najít.",module,Magento/AdvancedCheckout
"You added %1 product to your shopping cart.","Do košíku byl vložen %1 produkt.",module,Magento/AdvancedCheckout
"You added %1 products to your shopping cart.","Do košíku bylo vloženo %1 produktů.",module,Magento/AdvancedCheckout
"%1 product requires your attention.","%1 produkt vyžaduje vaši pozornost.",module,Magento/AdvancedCheckout
"%1 products require your attention.","%1 produktů vyžaduje vaši pozornost.",module,Magento/AdvancedCheckout
"Yes, for Specified Customer Groups","Ano, pro zvolené skupiny zákazníků",module,Magento/AdvancedCheckout
"Yes, for Everyone","Ano, pro každého",module,Magento/AdvancedCheckout
"No","Ne",module,Magento/AdvancedCheckout
"The file is corrupt.","Soubor je poškozen.",module,Magento/AdvancedCheckout
"Please upload the file in .csv format.","Nahrajte soubor ve formátu CSV prosím.",module,Magento/AdvancedCheckout
"%1 item(s) need your attention.","%1 položek vyžaduje vaši pozornost.",module,Magento/AdvancedCheckout
"Apply Coupon Code","Použít kód kuponu",module,Magento/AdvancedCheckout
"Remove Coupon Code","Odstranit kód kupónu",module,Magento/AdvancedCheckout
"Remove","Odstranit",module,Magento/AdvancedCheckout
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" není platný.",module,Magento/AdvancedCheckout
"Shopping Cart Items","Položky v košíku",module,Magento/AdvancedCheckout
"Qty","Množství",module,Magento/AdvancedCheckout
"Subtotal","Mezisoučet",module,Magento/AdvancedCheckout
"Discount","Sleva",module,Magento/AdvancedCheckout
"Row Subtotal","Mezisoučet",module,Magento/AdvancedCheckout
"Action","Akce",module,Magento/AdvancedCheckout
"No ordered items","Objednávka neobsahuje žádný produkt",module,Magento/AdvancedCheckout
"Total %1 product(s)","Celkem %1 produktů",module,Magento/AdvancedCheckout
"Subtotal:","Mezisoučet:",module,Magento/AdvancedCheckout
"Please select","Vyberte",module,Magento/AdvancedCheckout
"Move to Wish List","Přesunout k oblíbeným",module,Magento/AdvancedCheckout
"No item specified.","Nebyla určena žádná položka.",module,Magento/AdvancedCheckout
"Are you sure you want to remove this item?","Skutečně chcete tuto položku odebrat?",module,Magento/AdvancedCheckout
"SKU number","SKU číslo",module,Magento/AdvancedCheckout
"Upload File","Nahrát soubor",module,Magento/AdvancedCheckout
"Your csv file must include ""sku"" and ""qty"" columns.","CSV soubor musí obsahovat sloupce ""sku"" a ""qty"".",module,Magento/AdvancedCheckout
"Reset","Obnovit",module,Magento/AdvancedCheckout
"SKU: ","SKU: ",module,Magento/AdvancedCheckout
"Only <span id=""%1_max_allowed"">%2</span> in stock","Posledních <span id=""%1_max_allowed"">%2</span> skladem",module,Magento/AdvancedCheckout
"Item","Položka",module,Magento/AdvancedCheckout
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky.",module,Magento/AdvancedCheckout
"What's this?","Co to znamená?",module,Magento/AdvancedCheckout
"Incl. Tax","s DPH",module,Magento/AdvancedCheckout
"Excl. Tax","bez DPH",module,Magento/AdvancedCheckout
"Edit item parameters","Upravit parametry",module,Magento/AdvancedCheckout
"Edit","Upravit",module,Magento/AdvancedCheckout
"Remove item","Odebrat položku",module,Magento/AdvancedCheckout
"Products Requiring Attention","Produkty vyžadující pozornost",module,Magento/AdvancedCheckout
"Add to Cart","Přidat do košíku",module,Magento/AdvancedCheckout
"Sku","SKU",module,Magento/AdvancedCheckout
"File","Soubor",module,Magento/AdvancedCheckout
"File extensions allowed: .csv","Povolená přípona souborů: .csv",module,Magento/AdvancedCheckout
"Add Row","Přidat řádek",module,Magento/AdvancedCheckout
"Remove Row","Odstranit řádek",module,Magento/AdvancedCheckout
"Add Products By SKU","Přidat produkty podle SKU",module,Magento/AdvancedCheckout
"Shopping Cart Management","Správa nákupního košíku",module,Magento/AdvancedCheckout
"View Shopping Cart","Zobrazit nákupní košík",module,Magento/AdvancedCheckout
"View and modify Shopping Cart","Zobrazit a upravit nákupní košík",module,Magento/AdvancedCheckout
"Order by SKU Settings","Nastavení objednávky podle SKU",module,Magento/AdvancedCheckout
"Enable Order by SKU on My Account in Storefront","Zapnout objednání podle SKU v menu zákazníka v obchodě",module,Magento/AdvancedCheckout
"Customer Groups","Skupiny zákazníků",module,Magento/AdvancedCheckout
"Apply Coupon","Použít kupón",module,Magento/AdvancedCheckout
"Order by SKU Description","Popis objednání podle SKU",module,Magento/AdvancedCheckout
"Display a Link to Loading a Spreadsheet","Zobrazit odkaz pro načtení tabulky",module,Magento/AdvancedCheckout
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Určuje, zda bude odkaz na stránku Můj účet &gt; Objednat podle SKU zobrazen ve widgetu",module,Magento/AdvancedCheckout
"Link Text","Text odkazu",module,Magento/AdvancedCheckout
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu Můj účet &gt; Objednat podle SKU",module,Magento/AdvancedCheckout
"Load a list of SKUs","Načíst seznam SKU",module,Magento/AdvancedCheckout
"Order by SKU Template","Šablona objednání podle SKU",module,Magento/AdvancedCheckout
"SKU not found in catalog.","SKU v katalogu nebyl nalezen.",module,Magento/AdvancedCheckout
"This file needs to be in .csv format.","Formát souboru musí být CSV.",module,Magento/AdvancedCheckout
"This customer couldn't be found. Verify the customer and try again.","Tento zákazník nebyl nalezen. Ověřte zákazníka a zkuste to znovu.",module,Magento/AdvancedCheckout
"This store couldn't be found. Verify the store and try again.","Tento obchod nebyl nalezen. Ověřte tento obchod a zkuste to znovu.",module,Magento/AdvancedCheckout
"An error occurred. For details, see the error log.","Vyskytla se chyba. Podrobnosti naleznete v protokolu chyb.",module,Magento/AdvancedCheckout
"Orders can only be completed in an active store. Verify the store and try again.","Objednávky lze provést pouze v aktivním obchodě. Ověřte obchod a zkuste to znovu.",module,Magento/AdvancedCheckout
"The ordered item needs to be loaded. Load the item and try again.","Objednané položky musí být načteny. Načíst položku a zkuste to znovu.",module,Magento/AdvancedCheckout
"The quote item ID needs to be received. Set the ID and try again.","Produkt ID musí být přijat. Nastavte ID a zkuste to znovu.",module,Magento/AdvancedCheckout
"The quote item needs to be loaded. Load the item and try again.","Produkt potřebuje být načten. Načíst položku a zkuste to znovu.",module,Magento/AdvancedCheckout
"The wish list item ID needs to be received. Set the ID and try again.","ID položky seznamu přání musí být přijata. Nastavte ID a zkuste to znovu.",module,Magento/AdvancedCheckout
"The wish list item needs to be loaded. Load the item and try again.","Položka seznamu přání musí být načtena. Vložte položku a zkuste to znovu.",module,Magento/AdvancedCheckout
"The file is corrupt and can't be used.","Soubor je poškozen a nelze ho použít.",module,Magento/AdvancedCheckout
"Please correct the data sent.","Opravte zaslaná data prosím.",module,Magento/AdvancedPricingImportExport
"Entity type model '%1' is not found","Typ entity modelu '%1' nebyl nalezen",module,Magento/AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Typ modelu entity musí být instancí z \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento/AdvancedPricingImportExport
"There are no product types available for export","K exportu nejsou dostupné žádné typy produktů",module,Magento/AdvancedPricingImportExport
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","Třída %1 neimplementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface",module,Magento/AdvancedRule
"Sales Rule","Obchodní pravidlo",module,Magento/AdvancedSalesRule
"Index sales rule","Index pravidel prodeje",module,Magento/AdvancedSalesRule
"Related Search Terms","Související hledané výrazy",module,Magento/AdvancedSearch
"Add New Search Term","Přidat nový hledaný výraz",module,Magento/AdvancedSearch
"button_label","button_label",module,Magento/AdvancedSearch
"Missing search engine parameter.","Chybějící parametr vyhledávání.",module,Magento/AdvancedSearch
"Successful! Test again?","Úspěšně! Testovat znovu?",module,Magento/AdvancedSearch
"Connection failed! Test again?","Spojení selhalo! Testovat znovu?",module,Magento/AdvancedSearch
"Enable Search Recommendations","Zapnout doporučení hledání",module,Magento/AdvancedSearch
"When you enable this option your site may slow down.","Zapnutí této funkce může zpomalit stránky.",module,Magento/AdvancedSearch
"Search Recommendations Count","Počet doporučených hlednání",module,Magento/AdvancedSearch
"Show Results Count for Each Recommendation","Zobrazit počet výsledků pro každé doporučení",module,Magento/AdvancedSearch
"Enable Search Suggestions","Zapnout návrhy vyhledávání",module,Magento/AdvancedSearch
"Search Suggestions Count","Počet návrhů hledání",module,Magento/AdvancedSearch
"Show Results Count for Each Suggestion","Zobrazit počet výsledků pro každý návrh",module,Magento/AdvancedSearch
"Related search terms","Související hledané výrazy",module,Magento/AdvancedSearch
"Did you mean","Měli jste na mysli",module,Magento/AdvancedSearch
"ID","ID",module,Magento/AdvancedSearch
"Search Query","Vyhledávací dotaz",module,Magento/AdvancedSearch
"Store","Obchod",module,Magento/AdvancedSearch
"Results","Výsledky",module,Magento/AdvancedSearch
"Uses","Použití",module,Magento/AdvancedSearch
"Redirect URL","Přesměrování URL",module,Magento/AdvancedSearch
"Suggested Term","Navrhovaný termín",module,Magento/AdvancedSearch
"Yes","Ano",module,Magento/AdvancedSearch
"No","Ne",module,Magento/AdvancedSearch
"Action","Akce",module,Magento/AdvancedSearch
"Edit","Upravit",module,Magento/AdvancedSearch
"Synonym","Synonymum",module,Magento/AdvancedSearch
"RPC call failed, connection timed out after %time_out.","RPC volání selhalo, připojení vypršelo po %time_out.",module,Magento/Amqp
"Message has been rejected: %1","Zpráva byla odmítnuta: %1",module,Magento/Amqp
"Error while checking if topic is synchronous","Při kontrole, je-li téma je synchronní, nastala chyba",module,Magento/Amqp
"Subscription status","Stav předplatného",module,Magento/Analytics
"Sorry, there has been an error processing your request. Please try again later.","Omlouváme se, došlo k chybě při zpracování vašeho požadavku. Opakujte akci později.",module,Magento/Analytics
"Time value has an unsupported format","Time value has an unsupported format",module,Magento/Analytics
"Cron settings can't be saved","Nelze uložit nastavení cron",module,Magento/Analytics
"There was an error save new configuration value.","There was an error save new configuration value.",module,Magento/Analytics
"Please select a vertical.","Please select a vertical.",module,Magento/Analytics
"--Please Select--","– Vyberte –",module,Magento/Analytics
"Command was not found.","Příkaz nebyl nalezen.",module,Magento/Analytics
"Input data must be string or convertible into string.","Input data must be string or convertible into string.",module,Magento/Analytics
"Input data must be non-empty string.","Input data must be non-empty string.",module,Magento/Analytics
"Not valid cipher method.","Špatná šifrovací metoda.",module,Magento/Analytics
"Encryption key can't be empty.","Šifrovací klíč nemůže být prázdný.",module,Magento/Analytics
"Source ""%1"" is not exist","Zdroj ""%1"" neexistuje",module,Magento/Analytics
"These arguments can't be empty ""%1""","Tyto argumenty nemohou být prázdné ""%1""",module,Magento/Analytics
"Cannot find predefined integration user!","Cannot find predefined integration user!",module,Magento/Analytics
"File is not ready yet.","Soubor zatím není připraven.",module,Magento/Analytics
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.",module,Magento/Analytics
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. ",module,Magento/Analytics
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Opakovat Synchronizaci</a>",module,Magento/Analytics
"TestMessage","TestovacíZpráva",module,Magento/Analytics
"Apps and Games","Aplikace a Hry",module,Magento/Analytics
"Athletic/Sporting Goods","Athletic/Sporting Goods",module,Magento/Analytics
"Art and Design","Umění a Design",module,Magento/Analytics
"Advanced Reporting","Rozšířené přehledy",module,Magento/Analytics
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",module,Magento/Analytics
"Go to Advanced Reporting","Go to Advanced Reporting",module,Magento/Analytics
"Analytics","Analytika",module,Magento/Analytics
"API","API",module,Magento/Analytics
"Configuration","Nastavení",module,Magento/Analytics
"Business Intelligence","Business Intelligence",module,Magento/Analytics
"BI Essentials","BI Essentials",module,Magento/Analytics
"This service provides a dynamic suite of reports with rich insights about your business.,module,Magento/Analytics
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the,module,Magento/Analytics
""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento/Analytics
terms and conditions</a>.","Tato služba poskytuje dynamickou sadu přehledů s množstvím informací o vašem obchodu.,module,Magento/Analytics
Přehledy mohou být bezpečně zpřístupněny personalizovaným panelům mimo administraci kliknutím na odkaz,module,Magento/Analytics
""Přejít na Advanced Reporting"". </br> Více informací získáte v našich <a href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento/Analytics
smluvních podmínkách</a>.",module,Magento/Analytics
"Advanced Reporting Service","Advanced Reporting Service",module,Magento/Analytics
"Time of day to send data","Time of day to send data",module,Magento/Analytics
"Industry","Průmysl",module,Magento/Analytics
"In order to personalize your Advanced Reporting experience, please select your industry.","In order to personalize your Advanced Reporting experience, please select your industry.",module,Magento/Analytics
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>",module,Magento/Analytics
"Magento Business Intelligence provides you with a simple and clear path to,module,Magento/Analytics
becoming more data driven.</br> Learn more about <a target=""_blank"",module,Magento/Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vám umožní a snadným způsobem získat ze svých,module,Magento/Analytics
dat více informací.</br> Přečtěte si více <a target=""_blank"",module,Magento/Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">o Magento BI Essentials a BI Pro</a>.",module,Magento/Analytics
"Auto Parts","Auto Parts",module,Magento/Analytics
"Baby/Children’s Apparel, Gear and Toys","Baby/Children’s Apparel, Gear and Toys",module,Magento/Analytics
"Beauty and Cosmetics","Beauty and Cosmetics",module,Magento/Analytics
"Books, Music and Magazines","Knihy, Hudba a Časopisy",module,Magento/Analytics
"Crafts and Stationery","Crafts and Stationery",module,Magento/Analytics
"Consumer Electronics","Spotřební Elektronika",module,Magento/Analytics
"Deal Site","Deal Site",module,Magento/Analytics
"Fashion Apparel and Accessories","Fashion Apparel and Accessories",module,Magento/Analytics
